Zeitstempel,Produkt_Code,SDO_ID,Windgeschwindigkeit,Qualitaet_Niveau,Qualitaet_Byte,Leistung
201901052300,F_MN003,1346,7.3,4,10,1806.7
201901060000,F_MN003,1346,8.3,4,10,1716.6
201901060100,F_MN003,1346,7.8,4,10,1558.2
201901060200,F_MN003,1346,6.3,4,10,1405.8
201901060300,F_MN003,1346,6.4,4,10,1297.8
201901060400,F_MN003,1346,6.5,4,10,1143.0
201901060500,F_MN003,1346,6.7,4,10,978.3
201901060600,F_MN003,1346,8.4,4,10,931.6
201901060700,F_MN003,1346,8.1,4,10,897.5
201901060800,F_MN003,1346,9.0,4,10,836.9
201901060900,F_MN003,1346,9.5,4,10,870.1
201901061000,F_MN003,1346,9.0,4,10,852.6
201901061100,F_MN003,1346,9.4,4,10,891.5
201901061200,F_MN003,1346,9.0,4,10,867.2
201901061300,F_MN003,1346,8.0,4,10,919.0
201901061400,F_MN003,1346,7.1,4,10,893.4
201901061500,F_MN003,1346,6.7,4,10,871.1
201901061600,F_MN003,1346,6.7,4,10,927.4
201901061700,F_MN003,1346,6.2,4,10,917.2
201901061800,F_MN003,1346,6.2,4,10,907.8
201901061900,F_MN003,1346,5.6,4,10,764.8
201901062000,F_MN003,1346,4.9,4,10,646.3
201901062100,F_MN003,1346,4.0,4,10,549.2
201901062200,F_MN003,1346,4.2,4,10,506.9
201901062300,F_MN003,1346,4.7,4,10,420.7
201901070000,F_MN003,1346,4.6,4,10,469.7
201901070100,F_MN003,1346,4.3,4,10,454.1
201901070200,F_MN003,1346,4.3,4,10,436.2
201901070300,F_MN003,1346,3.1,4,10,420.9
201901070400,F_MN003,1346,2.6,4,10,359.5
201901070500,F_MN003,1346,2.2,4,10,338.6
201901070600,F_MN003,1346,2.3,4,10,292.6
201901070700,F_MN003,1346,2.9,4,10,364.0
201901070800,F_MN003,1346,2.7,4,10,364.0
201901070900,F_MN003,1346,1.8,4,10,337.7
201901071000,F_MN003,1346,1.5,4,10,321.6
201901071100,F_MN003,1346,2.0,4,10,282.2
201901071200,F_MN003,1346,2.8,4,10,217.8
201901071300,F_MN003,1346,2.9,4,10,168.6
201901071400,F_MN003,1346,3.4,4,10,168.6
201901071500,F_MN003,1346,3.7,4,10,118.3
201901071600,F_MN003,1346,4.9,4,10,118.3
201901071700,F_MN003,1346,6.5,4,10,232.8
201901071800,F_MN003,1346,6.1,4,10,300.5
201901071900,F_MN003,1346,3.0,4,10,236.1
201901072000,F_MN003,1346,3.7,4,10,236.1
201901072100,F_MN003,1346,5.0,4,10,286.8
201901072200,F_MN003,1346,4.8,4,10,286.8
201901072300,F_MN003,1346,7.3,4,10,286.8
201901080000,F_MN003,1346,9.2,4,10,386.0
201901080100,F_MN003,1346,8.7,4,10,481.0
201901080200,F_MN003,1346,13.3,4,10,676.8
201901080300,F_MN003,1346,17.4,4,10,872.6
201901080400,F_MN003,1346,18.5,4,10,1068.5
201901080500,F_MN003,1346,17.8,4,10,1122.7
201901080600,F_MN003,1346,17.1,4,10,1207.7
201901080700,F_MN003,1346,16.8,4,10,1396.5
201901080800,F_MN003,1346,16.2,4,10,1558.9
201901080900,F_MN003,1346,15.0,4,10,1675.3
201901081000,F_MN003,1346,14.6,4,10,1852.2
201901081100,F_MN003,1346,14.3,4,10,2048.0
201901081200,F_MN003,1346,14.1,4,10,2082.9
201901081300,F_MN003,1346,14.2,4,10,2126.6
201901081400,F_MN003,1346,16.0,4,10,2099.7
201901081500,F_MN003,1346,15.1,4,10,2007.1
201901081600,F_MN003,1346,15.1,4,10,2007.1
201901081700,F_MN003,1346,13.9,4,10,1967.5
201901081800,F_MN003,1346,14.0,4,10,1964.5
201901081900,F_MN003,1346,13.4,4,10,1964.5
201901082000,F_MN003,1346,13.1,4,10,1967.2
201901082100,F_MN003,1346,12.3,4,10,1995.9
201901082200,F_MN003,1346,12.1,4,10,1961.0
201901082300,F_MN003,1346,13.4,4,10,1961.0
201901090000,F_MN003,1346,13.9,4,10,1974.2
201901090100,F_MN003,1346,14.5,4,10,1982.8
201901090200,F_MN003,1346,13.5,4,10,2009.6
201901090300,F_MN003,1346,11.7,4,10,2095.1
201901090400,F_MN003,1346,11.8,4,10,2095.1
201901090500,F_MN003,1346,15.4,4,10,2161.8
201901090600,F_MN003,1346,14.0,4,10,2207.9
201901090700,F_MN003,1346,15.8,4,10,2207.9
201901090800,F_MN003,1346,14.1,4,10,2223.3
201901090900,F_MN003,1346,14.3,4,10,2213.3
201901091000,F_MN003,1346,15.5,4,10,2267.2
201901091100,F_MN003,1346,15.1,4,10,2267.2
201901091200,F_MN003,1346,14.2,4,10,2268.8
201901091300,F_MN003,1346,14.8,4,10,2250.1
201901091400,F_MN003,1346,16.5,4,10,2249.1
201901091500,F_MN003,1346,14.0,4,10,2225.5
201901091600,F_MN003,1346,15.4,4,10,2225.5
201901091700,F_MN003,1346,15.4,4,10,2221.4
201901091800,F_MN003,1346,11.4,4,10,2221.4
201901091900,F_MN003,1346,11.3,4,10,2217.9
201901092000,F_MN003,1346,9.0,4,10,2160.7
201901092100,F_MN003,1346,10.2,4,10,2087.1
201901092200,F_MN003,1346,9.7,4,10,1965.1
201901092300,F_MN003,1346,6.9,4,10,1793.0
201901100000,F_MN003,1346,6.3,4,10,1627.5
201901100100,F_MN003,1346,5.8,4,10,1539.0
201901100200,F_MN003,1346,7.0,4,10,1480.9
201901100300,F_MN003,1346,8.7,4,10,1395.8
201901100400,F_MN003,1346,8.2,4,10,1228.6
201901100500,F_MN003,1346,8.4,4,10,1096.0
201901100600,F_MN003,1346,8.0,4,10,944.4
201901100700,F_MN003,1346,8.4,4,10,845.7
201901100800,F_MN003,1346,8.2,4,10,726.7
201901100900,F_MN003,1346,8.6,4,10,696.0
201901101000,F_MN003,1346,7.6,4,10,683.1
201901101100,F_MN003,1346,7.7,4,10,725.7
201901101200,F_MN003,1346,6.7,4,10,707.8
201901101300,F_MN003,1346,6.5,4,10,692.0
201901101400,F_MN003,1346,5.4,4,10,555.3
201901101500,F_MN003,1346,5.9,4,10,480.3
201901101600,F_MN003,1346,5.6,4,10,451.7
201901101700,F_MN003,1346,5.4,4,10,429.4
201901101800,F_MN003,1346,6.9,4,10,385.2
201901101900,F_MN003,1346,7.4,4,10,374.4
201901102000,F_MN003,1346,6.5,4,10,466.5
201901102100,F_MN003,1346,6.1,4,10,384.9
201901102200,F_MN003,1346,5.2,4,10,359.2
201901102300,F_MN003,1346,4.4,4,10,331.6
201901110000,F_MN003,1346,2.7,4,10,319.2
201901110100,F_MN003,1346,2.2,4,10,295.0
201901110200,F_MN003,1346,2.7,4,10,295.0
201901110300,F_MN003,1346,3.0,4,10,290.1
201901110400,F_MN003,1346,3.6,4,10,290.1
201901110500,F_MN003,1346,2.8,4,10,253.2
201901110600,F_MN003,1346,3.8,4,10,308.0
201901110700,F_MN003,1346,4.6,4,10,282.2
201901110800,F_MN003,1346,4.0,4,10,185.9
201901110900,F_MN003,1346,3.5,4,10,185.9
201901111000,F_MN003,1346,3.3,4,10,176.8
201901111100,F_MN003,1346,2.1,4,10,138.1
201901111200,F_MN003,1346,2.3,4,10,144.0
201901111300,F_MN003,1346,3.2,4,10,144.0
201901111400,F_MN003,1346,2.8,4,10,172.8
201901111500,F_MN003,1346,4.6,4,10,213.8
201901111600,F_MN003,1346,6.4,4,10,216.1
201901111700,F_MN003,1346,6.9,4,10,216.1
201901111800,F_MN003,1346,7.5,4,10,161.3
201901111900,F_MN003,1346,6.9,4,10,170.4
201901112000,F_MN003,1346,4.8,4,10,170.4
201901112100,F_MN003,1346,7.2,4,10,195.6
201901112200,F_MN003,1346,7.3,4,10,192.9
201901112300,F_MN003,1346,8.0,4,10,254.2
201901120000,F_MN003,1346,6.3,4,10,248.3
201901120100,F_MN003,1346,6.8,4,10,295.2
201901120200,F_MN003,1346,6.8,4,10,327.3
201901120300,F_MN003,1346,6.5,4,10,324.0
201901120400,F_MN003,1346,5.6,4,10,330.5
201901120500,F_MN003,1346,5.7,4,10,357.6
201901120600,F_MN003,1346,7.1,4,10,418.6
201901120700,F_MN003,1346,6.9,4,10,352.4
201901120800,F_MN003,1346,8.0,4,10,497.5
201901120900,F_MN003,1346,7.7,4,10,545.2
201901121000,F_MN003,1346,9.1,4,10,588.1
201901121100,F_MN003,1346,9.5,4,10,616.8
201901121200,F_MN003,1346,10.3,4,10,773.0
201901121300,F_MN003,1346,11.7,4,10,917.1
201901121400,F_MN003,1346,12.5,4,10,967.5
201901121500,F_MN003,1346,16.9,4,10,1125.6
201901121600,F_MN003,1346,14.8,4,10,1307.9
201901121700,F_MN003,1346,17.2,4,10,1476.7
201901121800,F_MN003,1346,15.7,4,10,1582.7
201901121900,F_MN003,1346,15.2,4,10,1778.5
201901122000,F_MN003,1346,18.2,4,10,1829.3
201901122100,F_MN003,1346,19.4,4,10,1952.2
201901122200,F_MN003,1346,18.4,4,10,2038.2
201901122300,F_MN003,1346,17.6,4,10,2143.9
201901130000,F_MN003,1346,17.8,4,10,2183.6
